Postcode,Economy,Premium
CV1 1AA,80,90
CV1 1AB,80,90
CV1 1AD,80,90
CV1 1AE,80,90
CV1 1AF,80,90
CV1 1AH,80,90
CV1 1AJ,80,90
CV1 1AL,80,90
CV1 1AN,80,90
CV1 1AP,80,90
CV1 1AQ,80,90
CV1 1AR,80,90
CV1 1BA,80,90
CV1 1BB,80,90
CV1 1BD,80,90
CV1 1BE,80,90
CV1 1DA,80,90
CV1 1DD,80,90
CV1 1DE,80,90
CV1 1DF,80,90
CV1 1DG,80,90
CV1 1DJ,80,90
CV1 1DL,80,90
CV1 1DN,80,90
CV1 1DP,80,90
CV1 1DQ,80,90
CV1 1DR,80,90
CV1 1DS,80,90
CV1 1DT,80,90
CV1 1DU,80,90
CV1 1DW,80,90
CV1 1DX,80,90
CV1 1DY,80,90
CV1 1DZ,80,90
CV1 1EA,80,90
CV1 1EB,80,90
CV1 1ED,80,90
CV1 1EE,80,90
CV1 1EG,80,90
CV1 1EH,80,90
CV1 1EJ,80,90
CV1 1EL,80,90
CV1 1EN,80,90
CV1 1EP,80,90
CV1 1EQ,80,90
CV1 1ER,80,90
CV1 1ES,80,90
CV1 1ET,80,90
CV1 1EU,80,90
CV1 1EW,80,90
CV1 1EX,80,90
CV1 1EY,80,90
CV1 1EZ,80,90
CV1 1FB,80,90
CV1 1FD,80,90
CV1 1FE,80,90
CV1 1FF,80,90
CV1 1FG,80,90
CV1 1FH,80,90
CV1 1FJ,80,90
CV1 1FL,80,90
CV1 1FN,80,90
CV1 1FP,80,90
CV1 1FQ,80,90
CV1 1FR,80,90
CV1 1FS,80,90
CV1 1FT,80,90
CV1 1FU,80,90
CV1 1FW,80,90
CV1 1FX,80,90
CV1 1FY,80,90
CV1 1FZ,80,90
CV1 1GB,80,90
CV1 1GD,80,90
CV1 1GE,80,90
CV1 1GF,80,90
CV1 1GG,80,90
CV1 1GH,80,90
CV1 1GJ,80,90
CV1 1GL,80,90
CV1 1GN,80,90
CV1 1GP,80,90
CV1 1GQ,80,90
CV1 1GR,80,90
CV1 1GS,80,90
CV1 1GT,80,90
CV1 1GU,80,90
CV1 1GW,80,90
CV1 1GX,80,90
CV1 1GY,80,90
CV1 1HD,80,90
CV1 1HE,80,90
CV1 1HF,80,90
CV1 1HG,80,90
CV1 1HH,80,90
CV1 1HJ,80,90
CV1 1HL,80,90
CV1 1HN,80,90
CV1 1HP,80,90
CV1 1HQ,80,90
CV1 1HR,80,90
CV1 1HS,80,90
CV1 1HT,80,90
CV1 1HU,80,90
CV1 1HW,80,90
CV1 1HX,80,90
CV1 1HY,80,90
CV1 1HZ,80,90
CV1 1JA,80,90
CV1 1JB,80,90
CV1 1JD,80,90
CV1 1JE,80,90
CV1 1JF,80,90
CV1 1JG,80,90
CV1 1JH,80,90
CV1 1JJ,80,90
CV1 1JN,80,90
CV1 1JP,80,90
CV1 1JQ,80,90
CV1 1JR,80,90
CV1 1JS,80,90
CV1 1JT,80,90
CV1 1JU,80,90
CV1 1JW,80,90
CV1 1JX,80,90
CV1 1JY,80,90
CV1 1JZ,80,90
CV1 1LA,80,90
CV1 1LB,80,90
CV1 1LD,80,90
CV1 1LE,80,90
CV1 1LF,80,90
CV1 1LG,80,90
CV1 1LH,80,90
CV1 1LL,80,90
CV1 1LN,80,90
CV1 1LP,80,90
CV1 1LQ,80,90
CV1 1LR,80,90
CV1 1LS,80,90
CV1 1LT,80,90
CV1 1LW,80,90
CV1 1LX,80,90
CV1 1LY,80,90
CV1 1LZ,80,90
CV1 1NA,80,90
CV1 1NB,80,90
CV1 1ND,80,90
CV1 1NE,80,90
CV1 1NF,80,90
CV1 1NG,80,90
CV1 1NH,80,90
CV1 1NL,80,90
CV1 1NN,80,90
CV1 1NP,80,90
CV1 1NQ,80,90
CV1 1NR,80,90
CV1 1NT,80,90
CV1 1NU,80,90
CV1 1NW,80,90
CV1 1NX,80,90
CV1 1NY,80,90
CV1 1PB,80,90
CV1 1PD,80,90
CV1 1PE,80,90
CV1 1PF,80,90
CV1 1PH,80,90
CV1 1PJ,80,90
CV1 1PL,80,90
CV1 1PN,80,90
CV1 1PP,80,90
CV1 1PQ,80,90
CV1 1PR,80,90
CV1 1PS,80,90
CV1 1PT,80,90
CV1 1PW,80,90
CV1 1PX,80,90
CV1 1PZ,80,90
CV1 1QA,80,90
CV1 1QB,80,90
CV1 1QD,80,90
CV1 1QE,80,90
CV1 1QF,80,90
CV1 1QG,80,90
CV1 1QH,80,90
CV1 1QJ,80,90
CV1 1QL,80,90
CV1 1QN,80,90
CV1 1QP,80,90
CV1 1QQ,80,90
CV1 1QR,80,90
CV1 1QS,80,90
CV1 1QT,80,90
CV1 1QW,80,90
CV1 1QX,80,90
CV1 1QY,80,90
CV1 1QZ,80,90
CV1 1RA,80,90
CV1 1RD,80,90
CV1 1WJ,80,90
CV1 1WR,80,90
CV1 1WX,80,90
CV1 1XR,80,90
CV1 1YB,80,90
CV1 1YJ,80,90
CV1 1YT,80,90
CV1 1YX,80,90
CV1 1YY,80,90
CV1 1ZA,80,90
CV1 1ZB,80,90
CV1 1ZD,80,90
CV1 1ZE,80,90
CV1 1ZF,80,90
CV1 1ZG,80,90
CV1 1ZH,80,90
CV1 1ZJ,80,90
CV1 1ZL,80,90
CV1 1ZP,80,90
CV1 1ZQ,80,90
CV1 1ZR,80,90
CV1 1ZS,80,90
CV1 1ZT,80,90
CV1 1ZU,80,90
CV1 1ZX,80,90
