Postcode,Economy,Premium
MK1 1AA,80,90
MK1 1AB,80,90
MK1 1AD,80,90
MK1 1AE,80,90
MK1 1AF,80,90
MK1 1AG,80,90
MK1 1AH,80,90
MK1 1AJ,80,90
MK1 1AL,80,90
MK1 1AQ,80,90
MK1 1AS,80,90
MK1 1AT,80,90
MK1 1AX,80,90
MK1 1AY,80,90
MK1 1BA,80,90
MK1 1BB,80,90
MK1 1BD,80,90
MK1 1BE,80,90
MK1 1BF,80,90
MK1 1BG,80,90
MK1 1BH,80,90
MK1 1BJ,80,90
MK1 1BL,80,90
MK1 1BN,80,90
MK1 1BP,80,90
MK1 1BQ,80,90
MK1 1BS,80,90
MK1 1BT,80,90
MK1 1BU,80,90
MK1 1BW,80,90
MK1 1BX,80,90
MK1 1BY,80,90
MK1 1BZ,80,90
MK1 1DA,80,90
MK1 1DB,80,90
MK1 1DD,80,90
MK1 1DE,80,90
MK1 1DF,80,90
MK1 1DG,80,90
MK1 1DH,80,90
MK1 1DJ,80,90
MK1 1DL,80,90
MK1 1DN,80,90
MK1 1DP,80,90
MK1 1DQ,80,90
MK1 1DR,80,90
MK1 1DS,80,90
MK1 1DT,80,90
MK1 1DU,80,90
MK1 1DW,80,90
MK1 1DX,80,90
MK1 1DY,80,90
MK1 1DZ,80,90
MK1 1EA,80,90
MK1 1EB,80,90
MK1 1ED,80,90
MK1 1EE,80,90
MK1 1EF,80,90
MK1 1EG,80,90
MK1 1EH,80,90
MK1 1EJ,80,90
MK1 1EL,80,90
MK1 1EN,80,90
MK1 1EP,80,90
MK1 1EQ,80,90
MK1 1ER,80,90
MK1 1ES,80,90
MK1 1ET,80,90
MK1 1EU,80,90
MK1 1EW,80,90
MK1 1EX,80,90
MK1 1EY,80,90
MK1 1EZ,80,90
MK1 1FA,80,90
MK1 1FB,80,90
MK1 1FD,80,90
MK1 1FE,80,90
MK1 1HA,80,90
MK1 1HB,80,90
MK1 1HD,80,90
MK1 1HE,80,90
MK1 1HF,80,90
MK1 1HG,80,90
MK1 1HH,80,90
MK1 1HJ,80,90
MK1 1HL,80,90
MK1 1HN,80,90
MK1 1HP,80,90
MK1 1HQ,80,90
MK1 1HR,80,90
MK1 1HS,80,90
MK1 1HT,80,90
MK1 1HU,80,90
MK1 1HW,80,90
MK1 1HX,80,90
MK1 1HY,80,90
MK1 1HZ,80,90
MK1 1JA,80,90
MK1 1JB,80,90
MK1 1JD,80,90
MK1 1JE,80,90
MK1 1JF,80,90
MK1 1JG,80,90
MK1 1JH,80,90
MK1 1JJ,80,90
MK1 1JL,80,90
MK1 1JN,80,90
MK1 1JP,80,90
MK1 1JQ,80,90
MK1 1JR,80,90
MK1 1JS,80,90
MK1 1JT,80,90
MK1 1JU,80,90
MK1 1JW,80,90
MK1 1JX,80,90
MK1 1JY,80,90
MK1 1JZ,80,90
MK1 1LA,80,90
MK1 1LB,80,90
MK1 1LD,80,90
MK1 1LE,80,90
MK1 1LF,80,90
MK1 1LG,80,90
MK1 1LH,80,90
MK1 1LJ,80,90
MK1 1LL,80,90
